SN,ProjectName,Registration Number,Authorised Name,Promoter Name,Project Type,District,Tehsil,Approved Date,Proposed End Date,Extended Proposed End Date,Website,View Certificate,Details,Map 
"
                                                                1239 
                                                            ",NAMAN RESIDENCY,"
PCGRERA260721001236
",ANURAG SHUKLA,M/S MANS CONSTRUCTION  BUILDERS AND DEVELOPERS,Group Housing,BILASPUR,BILASPUR,26 Jul 2021,"
                                                                10 Nov 2025
                                                            ",10 Feb 2026,"


","
 
","
 
","
 
"
"
                                                                1240 
                                                            ",AVINASH  ONE,"
PCGRERA260721001237
",ANAND SINGHANIA,AVINASH DEVELOPERS PVT. LTD.,Mixed Development,RAIPUR,RAIPUR,26 Jul 2021,"
                                                                25 Feb 2026
                                                            ",25 May 2026,"


","
 
","
 
","
 
"
"
                                                                1241 
                                                            ",VIJAYA REGENCY BLOCK- A,"
PCGRERA290721001238
",AJAY SHRIVASTAV,AADHARSHILA BUILDERS PRIVATE LIMITED,Group Housing,BILASPUR,BILASPUR,29 Jul 2021,"
                                                                31 Dec 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1242 
                                                            ",SHRIRAM BUSINESS PARK PART F,"
PCGRERA290721001239
",PANKAJ SARDA,M/S SARDA ENERGY AND MINERALS LIMITED,Commercial Plotted Development,RAIPUR,RAIPUR,29 Jul 2021,"
                                                                26 Mar 2024
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1243 
                                                            ",BILASPUR TEXTILE MARKET PHASE-2 ,"
PCGRERA030821001240
",SHIV KUMAR SARAF,ADJ ASSOCIATES,Commercial Plotted Development,BILASPUR,BILASPUR,03 Aug 2021,"
                                                                10 Jan 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1244 
                                                            ",CHHUGANI PRIDE PHASE - 2,"
PCGRERA030821001241
",VIJAY CHHUGANI,CHHUGANI BUILDERS,Group Housing,RAIPUR,RAIPUR,03 Aug 2021,"
                                                                18 Jan 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1245 
                                                            ",SKY GREEN CITY,"
PCGRERA060821001242
",SOHIL AGRAWAL,SHRI SAI BUILDCON,Residential Plotted Development,BILASPUR,BILHA,06 Aug 2021,"
                                                                30 Jun 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1246 
                                                            ",TWIN PLAZA,"
PCGRERA160821001243
",VIJAY MANCHANDA,VIJAY MANCHANDA,Commercial,BILASPUR,BILASPUR,16 Aug 2021,"
                                                                30 Oct 2021
                                                            ",-,"


","
 Expired
","
 
","
"
"
                                                                1247 
                                                            ",TWIN PLAZA,"
 **
PCGRERA160821001244
",AJAY SHRIWASTAV,AJAY SHRIVASTAVA,Commercial,BILASPUR,BILASPUR,16 Aug 2021,"
                                                                30 Oct 2021
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1248 
                                                            ",MAHALAXMI   BUSSINES  PARK,"
PCGRERA170821001245
",JITENDRA SHARMA AND SANJAY GOLCHHA,SANJAY GOLCHHA,Commercial,DHAMTARI,DHAMTARI,17 Aug 2021,"
                                                                14 Jan 2026
                                                            ",-,"


","
 
","
 
","
"
"
                                                                1249 
                                                            ",SUBH RAIPUR VYAPAR VIHAR PHASE -2,"
PCGRERA170821001246
",DIPAK RAHEJA,SUBH RAIPUR VYAPAR VIHAR DEVELOPERS LLP,Commercial Plotted Development,RAIPUR,RAIPUR,17 Aug 2021,"
                                                                17 Jun 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1250 
                                                            ",SAI DREAMS,"
PCGRERA170821001247
",ASHISH RAMNANI,SAI DEVELOPERS,Mixed Development,RAIPUR,RAIPUR,17 Aug 2021,"
                                                                30 May 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1251 
                                                            ",RIVER COUNTY-5,"
P3CGRERA230821000026
",RAVI PHATNANI,PIONEER HOMES,Group Housing,RAIPUR,RAIPUR,23 Aug 2021,"
                                                                04 Jul 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1252 
                                                            ",METRO PARK -2,"
P3CGRERA230821000027
",VIJAY NATHANI,VGR REAL ESTATE,Group Housing,RAIPUR,RAIPUR,23 Aug 2021,"
                                                                24 Jan 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1253 
                                                            ",ARZ VIHAR,"
PCGRERA250821001248
",MOHAMMAD RIZWAN SURYA,ARZ DEVELOPERS AND BUILDERS PRIVATE LIMITED,Residential Plotted Development,RAIPUR,RAIPUR,25 Aug 2021,"
                                                                31 Jan 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1254 
                                                            ",V V VALLEY,"
PCGRERA250821001249
",NITESH KUMAR GOYAL,BARBARIK LAND TRADERS AND DEVELOPERS LLP,Residential Plotted Development,RAIPUR,RAIPUR,25 Aug 2021,"
                                                                01 Feb 2024
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1255 
                                                            ","ANANDA PLOTS ,ANANDAM WORLD CITY ,RAIPUR","
PCGRERA250821001250
",K.BHANOJ KUMAR,GOLDBRICKS INFRASTRUCTURE PVT. LTD.,Residential Plotted Development,RAIPUR,RAIPUR,25 Aug 2021,"
                                                                23 Dec 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1256 
                                                            ","BALAJI  KEWALYA  PARK  "" I ''","
PCGRERA250821001251
",C.N. PRASANNAN,BALAJI BUILDERS AND DEVELOPERS,Residential Plotted Development,DURG,DHAMDHA,25 Aug 2021,"
                                                                31 Dec 2023
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1257 
                                                            ",ROYAL PARK,"
PCGRERA030921001252
",VISHWAS GUPTA ,SUYASH BUILDCON,Residential Plotted Development,DURG,DURG,03 Sep 2021,"
                                                                01 Sep 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1258 
                                                            ",SPIN PACKAGING PHASE -1,"
PCGRERA030921001253
",RAMAWTAR AGRAWAL,SPIN PACKAGING LIMITED,Residential Plotted Development,BILASPUR,BILHA,03 Sep 2021,"
                                                                09 Feb 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1259 
                                                            ",GODRIWALA CITY PHASE-02 (EXTENSION),"
PCGRERA030921001254
",SATISH THOURANI,MM REAL ESTATE,Residential Plotted Development,RAIPUR,RAIPUR,03 Sep 2021,"
                                                                31 Mar 2022
                                                            ",30 Mar 2023,"


","
 
","
 
","
 
"
"
                                                                1260 
                                                            ",3A COMPLEX,"
PCGRERA030921001255
",ARUN KUMAR JAISWAL,AMIT KUMAR JAISWAL,Commercial,BILASPUR,BILASPUR,03 Sep 2021,"
                                                                22 Oct 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1261 
                                                            ",SHANTI NAGAR,"
PCGRERA030921001256
",VINOD KUMAR JAIN,M/S GEEKAY BUSINESS CENTRE,Group Housing,RAIPUR,RAIPUR,03 Sep 2021,"
                                                                30 Jun 2022
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                1262 
                                                            ",GRINDLY VIHAR,"
PCGRERA030921001257
",ARUN BHADRA,A C ASSOICATES ,Residential Plotted Development,RAIPUR,RAIPUR,03 Sep 2021,"
                                                                31 Dec 2021
                                                            ",-,"


","
 Expired
","
 
","
"
"
                                                                1263 
                                                            ",LOTUS CITY  PHASE- 01,"
 **
PCGRERA030921001258
",ARUN SINGHANIA,MAX DEVELOPERS,Residential Plotted Development,DURG,PATAN,03 Sep 2021,"
                                                                30 Sep 2021
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1264 
                                                            ",FM QUEENS PHASE -1,"
PCGRERA070921001259
",MURTUZA HUSSAIN ,M/S FIRSTMAN RESIDENTIAL DEVELOPERS,Residential Plotted Development,BILASPUR,TAKHATPUR,07 Sep 2021,"
                                                                31 Mar 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1265 
                                                            ",HARIDEVENDRAM PHASE-3,"
PCGRERA070921001260
",ALOK JAISWAL,JAI AMBEY PROJECTS,Group Housing,SURGUJA,AMBIKAPUR,07 Sep 2021,"
                                                                14 Jul 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1266 
                                                            ",RADIANCE  CITY ,"
PCGRERA070921001261
",MANOJ YADAV,RUPPY RESOURCES PVT.LTD. & RA BUILDCON BUILDERS & DEVELOPERS,Residential Plotted Development,RAIPUR,RAIPUR,07 Sep 2021,"
                                                                31 Aug 2024
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1267 
                                                            ",	SINGAPORE LIFE CITY PHASE-II,"
PCGRERA130921001262
",AJAY KUMAR CHOUHAN,CHOUHAN HOUSING COMPANY,Residential Plotted Development,DURG,DURG,13 Sep 2021,"
                                                                31 Aug 2024
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1268 
                                                            ",CONSTRUCTION & DEVELOPMNT OF 96 LIG (G+6)&48 EWS (G+6) FLATS AT PHASE-3 KABIR NAGAR RAIPUR,"
PCGRERA200921001263
","EXECUTIVE ENGINEER C.G.HOUSEING BORD DIV - 01, KAB","EXECUTIVE ENGINEER, C.G. HOUSING BOARD, DIVISION-01, KABIR NAGAR RAIPUR",Group Housing,RAIPUR,RAIPUR,20 Sep 2021,"
                                                                31 Aug 2024
                                                            ",-,"


","
 
","
 
","
"
"
                                                                1269 
                                                            ",ORCHID VIEWS,"
PCGRERA200921001264
",VIJAY PANJWANI,M/S R.S.DEVELOPERS,Residential Plotted Development,RAIPUR,RAIPUR,20 Sep 2021,"
                                                                02 Jun 2024
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1270 
                                                            ","WALLFORT HEIGHTS PHASE -2 ( G,H,I,J,K,L )","
PCGRERA200921001265
",PANKAJ MOOLCHAND LAHOTI ,CHHATTISGARH PROJECT ( INDIA ) PVT LTD,Group Housing,RAIPUR,RAIPUR,20 Sep 2021,"
                                                                10 Feb 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1271 
                                                            ",VINAYAK PLAZA,"
PCGRERA200921001266
",AMIT SHARMA,VINAYAK  BUILDCON ,Commercial,BILASPUR,TAKHATPUR,20 Sep 2021,"
                                                                08 Dec 2024
                                                            ",-,"


","
 
","
 
","
"
"
                                                                1272 
                                                            ",METRO PARK - 1,"
PCGRERA210921001267
",VIJAY NATHANI,METRO INFRASTRUCTURES,Residential Plotted Development,RAIPUR,RAIPUR,21 Sep 2021,"
                                                                27 Jun 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1273 
                                                            ",GOVINDA GREEN ,"
PCGRERA210921001268
",SUBODH SINGHANIA,SINGHANIA BUILDCON PRIVATE LIMITED,Residential Plotted Development,RAIPUR,RAIPUR,21 Sep 2021,"
                                                                15 Sep 2024
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1274 
                                                            ",AMBIENCE PRIME VILLAS,"
PCGRERA250921001269
",UMESH AGRAWAL,AMBIENCE INFRA,Residential Plotted Development,RAIPUR,RAIPUR,25 Sep 2021,"
                                                                29 Aug 2024
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1275 
                                                            ",STAR CITY,"
PCGRERA250921001270
",AMIR LALANI,AMIR LALANI,Residential Plotted Development,RAJNANDGAON,RAJNANDGAON,25 Sep 2021,"
                                                                30 Apr 2024
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1276 
                                                            ",BUSINESS PARK,"
PCGRERA280921001271
",MANISH JAIN,SAMBHAV DEVELOPERS,Commercial Plotted Development,DURG,DURG,28 Sep 2021,"
                                                                01 Mar 2024
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1277 
                                                            ",GENERAL SCHEME AT DDAY COLONY  MUNGI  RAIPUR,"
PCGRERA280921001272
","EXECUTIVE ENGINEER C.G.HOUSEING BORD DIV - 03, SAD",CHHATTISGARH HOUSING BOARD DIVISION-03,Group Housing,RAIPUR,ARANG,28 Sep 2021,"
                                                                20 May 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1278 
                                                            ",SOLUS  PEARL,"
PCGRERA280921001273
",BHARAT SHARMA,OM VENTURES,Residential Plotted Development,RAIPUR,RAIPUR,28 Sep 2021,"
                                                                31 Mar 2024
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1279 
                                                            ",KRISHNA VIHARS PRIDE,"
 **
PCGRERA300921001274
",GAURAV AGRAWAL,PRAKHAR BUILDERS & DEVELOPRES,Group Housing,RAIGARH,RAIGARH,30 Sep 2021,"
                                                                31 Oct 2021
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1280 
                                                            ",DEENDAYAL AWAS YOJANA KAURINBHATA RAJNANDGAON,"
PCGRERA061021001275
",EE C.G.H.B DIVSION RAJNANDGAON,E.E. C.G.H.B. DIV. RAJNANDGAON (C.G.),Group Housing,RAJNANDGAON,RAJNANDGAON,06 Oct 2021,"
                                                                29 Sep 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1281 
                                                            ",ATAL VIHAR YOJANA PENDRI RAJNANDGAON,"
PCGRERA061021001276
",EE C.G.H.B DIVSION RAJNANDGAON,E.E. C.G.H.B. DIV. RAJNANDGAON (C.G.),Group Housing,RAJNANDGAON,RAJNANDGAON,06 Oct 2021,"
                                                                28 Sep 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1282 
                                                            ",THE ELEMENTS,"
PCGRERA071021001277
",ABHISHEK BACHHAWAT,VARDHMAN VILLAS PRIVATE LIMITED ,Group Housing,RAIPUR,RAIPUR,07 Oct 2021,"
                                                                16 Aug 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1283 
                                                            ",SOLUS SHRI RAM CITY,"
PCGRERA081021001278
",SANDEEP SHARMA,SUN AND SUN INFRAMETRIC PRIVATE LIMITED,Residential Plotted Development,RAIPUR,ARANG,08 Oct 2021,"
                                                                05 Dec 2023
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1284 
                                                            ",SHIVRAM ENCLAVE PHASE -3,"
PCGRERA081021001279
",RAKESH GUPTA,RAKESH GUPTA,Residential Plotted Development,JANJGIR CHAMPA,JANJGIR,08 Oct 2021,"
                                                                26 Dec 2024
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1285 
                                                            ",GENERAL SCHEME  COLONY  NARDAHA   RAIPUR,"
PCGRERA121021001280
","EXECUTIVE ENGINEER C.G.HOUSEING BORD DIV - 03, SAD",CHHATTISGARH HOUSING BOARD DIVISION-03,Group Housing,RAIPUR,ARANG,12 Oct 2021,"
                                                                07 Jul 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1286 
                                                            ",AASHA PRIDE CITY,"
PCGRERA121021001281
",SUNIL SAHU,M/S MAKERS BUILDERS & DEVELOPERS ,Residential Plotted Development,DURG,PATAN,12 Oct 2021,"
                                                                10 Feb 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1287 
                                                            ",AVINASH SMART CITY APARTMENT,"
PCGRERA121021001282
",ANAND SINGHANIA,AVINASH BUILDERS,Group Housing,RAIPUR,RAIPUR,12 Oct 2021,"
                                                                31 Dec 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1288 
                                                            ",KONARK CITY -2 ,"
PCGRERA121021001283
",MANISH SINGH,KONARK BUILDER,Group Housing,SURGUJA,AMBIKAPUR,12 Oct 2021,"
                                                                21 Jun 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1289 
                                                            ",ROYALE AVENUE,"
PCGRERA121021001284
",SUNIL SAHU,USHA BUILDWEL PVT.LTD.,Residential Plotted Development,RAIPUR,RAIPUR,12 Oct 2021,"
                                                                31 Dec 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1290 
                                                            ",FORUM BUSINESS CENTRE ,"
PCGRERA121021001285
",RAVI SHANKER PHATNANI,NR  DEVELOPERS,Commercial,RAIPUR,RAIPUR,12 Oct 2021,"
                                                                21 Dec 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1291 
                                                            ",VRINDAVAN PARK,"
PCGRERA131021001286
",AJAY KUMAR SHARMA,SHELTER LANDMARK PRIVATE LIMITED,Residential Plotted Development,RAIPUR,ABHANPUR,13 Oct 2021,"
                                                                17 Mar 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1292 
                                                            ",SHYAM CITY,"
PCGRERA211021001287
",SIDDHANT GUPTA,NANDIKA CONSULTANCY SERVICES PRIVATE LIMITED,Residential Plotted Development,RAIPUR,RAIPUR,21 Oct 2021,"
                                                                28 Sep 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1293 
                                                            ",SIDDHARTH TOWN -3,"
PCGRERA271021001288
",SIDDHARTH BUILDCON ,SIDDHARTH BUILDCON,Residential Plotted Development,DURG,PATAN,27 Oct 2021,"
                                                                19 Oct 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1294 
                                                            ","CONSTRUCTION OF 44 JRMIG, 47 EWS HOUSES (PHASE II) AT BAGHERA DURG DIST. DURG ","
PCGRERA271021001289
",EXECUTIVE ENGINEER C.G.HOUSING BOARD DIVISION- DUR,CHHATTISGARH HOUSING BOARD DIVISION-DURG,Group Housing,DURG,DURG,27 Oct 2021,"
                                                                01 Oct 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1295 
                                                            ",MANGLAM VILLAS,"
PCGRERA271021001290
",NITESH SHARMA,NITESH SHARMA,Residential Plotted Development,BALODABAZAR,BALODABAZAR,27 Oct 2021,"
                                                                22 Aug 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1296 
                                                            ",JAIN COLONY SARAIPALI MAHASAMUND,"
PCGRERA281021001291
",PREM CHAND JAIN,PREM CHAND JAIN,Residential Plotted Development,MAHASAMUND,SARAIPALI,28 Oct 2021,"
                                                                14 Apr 2024
                                                            ",-,"


","
 
","
 
","
"
"
                                                                1297 
                                                            ",SAGAR GOLDEN SQUARE,"
PCGRERA281021001292
",KABBEER P CHADHA,KABBEER P CHADHA,Commercial,BILASPUR,BILASPUR,28 Oct 2021,"
                                                                24 Jan 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1298 
                                                            ",SOHAM,"
PCGRERA281021001293
",ABHILESH KUMAR JAIN,RISHABH BUILDTECH INDIA PRIVATE LIMITED,Residential Plotted Development,DURG,DURG,28 Oct 2021,"
                                                                12 Oct 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1299 
                                                            ",TIRUPATI ENCLAVE PHASE-03,"
PCGRERA281021001294
",SHYAM SUNDER AGRAWAL,KANCHAN COMPLEXES PVT LTD,Group Housing,RAIPUR,RAIPUR,28 Oct 2021,"
                                                                01 Aug 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1300 
                                                            ",BAJAJ SKY HEIGHTS ,"
PCGRERA281021001295
",MUKESH BAJAJ,BAJAJ TOWNSHIP PVT. LTD  ,Group Housing,RAIPUR,RAIPUR,28 Oct 2021,"
                                                                22 Jul 2023
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1301 
                                                            ",SAMRIDDHI ALTUS,"
PCGRERA281021001296
",ASHOK KUMAR AGRAWAL,ARYAN PROMOTERS & BUILDERS,Group Housing,RAIPUR,RAIPUR,28 Oct 2021,"
                                                                10 Dec 2025
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1302 
                                                            ",SHRIRAM VATIKA ,"
PCGRERA021121001297
",KAMLA BAI SAHU ,SHRIRAM DEVELOPERS,Residential Plotted Development,DURG,DURG,02 Nov 2021,"
                                                                25 Oct 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1303 
                                                            ",WALLFORT OMEGA,"
PCGRERA031121001298
",ARPIT PARAKH,RAJSHREE BUILDERS,Commercial,RAIPUR,RAIPUR,03 Nov 2021,"
                                                                30 May 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1304 
                                                            ",ANNAPURNA CITY,"
PCGRERA031121001299
",DEEPAK KUMAR SAHU,ANNAPURNA BUILDERS,Residential Plotted Development,RAJNANDGAON,RAJNANDGAON,03 Nov 2021,"
                                                                01 Sep 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1305 
                                                            ",REVANTA ESTATE,"
PCGRERA071221001300
",RAVI KUKREJA,RISHIKESH  HOMES PRIVATE LIMITED,Residential Plotted Development,RAIPUR,RAIPUR,07 Dec 2021,"
                                                                03 Oct 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1306 
                                                            ",WALLFORT PARADISE - 03,"
PCGRERA071221001301
",PANKAJ MOOLCHAND LAHOTI ,JAINAM BUILDERS PRIVATE LIMITED,Residential Plotted Development,RAIPUR,RAIPUR,07 Dec 2021,"
                                                                27 Sep 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1307 
                                                            ",ASK BUSINESS TRIANGLE (ABT),"
PCGRERA131221001302
",ANURAG NATHANI,ASK FREEHOLD REALTY PVT. LTD.,Commercial,RAIPUR,RAIPUR,13 Dec 2021,"
                                                                20 May 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1308 
                                                            ","SECTOR 15 (POCKET B 8, B 9,& B17) ","
PCGRERA131221001303
",VINAY KUMAR AGRAWAL,NAYA RAIPUR DEVELOPMENT AUTHORITY,Residential Plotted Development,RAIPUR,ARANG,13 Dec 2021,"
                                                                31 Mar 2025
                                                            ",-,"


","
 
","
 
","
"
"
                                                                1309 
                                                            ",DURG TRADE CENTER,"
PCGRERA131221001304
",VINOD BOHRA,DURG TRADE CENTER,Commercial Plotted Development,DURG,DURG,13 Dec 2021,"
                                                                30 Aug 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1310 
                                                            ",L.I.C.PHASE -II,"
PCGRERA151221001305
",LAXMI NARAYAN GUPTA,LAXMI NARAYAN GUPTA ,Plotted Development,BILASPUR,BILASPUR,15 Dec 2021,"
                                                                14 Dec 2022
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1311 
                                                            ",WALLFORT PARKVIEW -2,"
PCGRERA241221001306
",JAINAM  BUILDER PVT.LTD,JAINAM BUILDERS PRIVATE LIMITED,Residential Plotted Development,RAIPUR,RAIPUR,24 Dec 2021,"
                                                                22 Nov 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1312 
                                                            ",AVINASH ELEGANCE,"
PCGRERA241221001307
",ANAND SINGHANIA,AVINASH DEVELOPERS PVT. LTD.,Group Housing,RAIPUR,RAIPUR,24 Dec 2021,"
                                                                29 Sep 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1313 
                                                            ",THE ADDRESS,"
PCGRERA010122001308
",RAJESH KUKREJA,SHIVAY INFRA,Group Housing,RAIPUR,RAIPUR,01 Jan 2022,"
                                                                04 Oct 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1314 
                                                            ",GT UNI HOMES PHASE-2,"
PCGRERA050122001309
",GURJEET SINGH RAJPAL ,G T HOMES,Residential Plotted Development,RAIPUR,RAIPUR,05 Jan 2022,"
                                                                17 Feb 2026
                                                            ",-,"


","
 
","
 
","
"
"
                                                                1315 
                                                            ",LAXMI SKY LIFE ,"
PCGRERA050122001310
",RADHE GOVIND BAJPAI,LAXMI BUILDERS,Group Housing,DURG,DURG,05 Jan 2022,"
                                                                16 Aug 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1316 
                                                            ",LAXMI HEIGHT,"
PCGRERA050122001311
",RADHE GOVIND BAJPAI,RADHE GOVIND BAJPAI,Group Housing,DURG,DURG,05 Jan 2022,"
                                                                12 Oct 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1317 
                                                            ",KAVISH ENCLAVE,"
PCGRERA060122001312
",HARIVALLABH AGRAWAL,HARIVALLABH AGRAWAL,Residential Plotted Development,RAIPUR,RAIPUR,06 Jan 2022,"
                                                                09 Jun 2022
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                1318 
                                                            ",PALMWOODS RESIDENCY PHASE-2,"
PCGRERA060122001313
",SAKSHAM KHICHARIYA,SARITA KHICHARIYA,Group Housing,DURG,DURG,06 Jan 2022,"
                                                                15 Nov 2026
                                                            ",-,"


","
 
","
 
","
"
"
                                                                1319 
                                                            ",RIVER COUNTY - 3,"
PCGRERA060122001314
",VIJAY NATHANI,VGR REAL ESTATE,Group Housing,RAIPUR,RAIPUR,06 Jan 2022,"
                                                                28 Nov 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1320 
                                                            ",RAMA VALLEY PHASE-VI,"
PCGRERA060122001315
",PRAKASH GWALANI,R P BUILDERS AND DEVELOPERS,Residential Plotted Development,BILASPUR,BILHA,06 Jan 2022,"
                                                                29 Oct 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1321 
                                                            ",PREETI VIHAR COLONY,"
PCGRERA060122001316
",DURJAN SINGH DHURWEY,M/S PREETI VIHAR BUILDCON,Residential Plotted Development,DURG,PATAN,06 Jan 2022,"
                                                                20 Nov 2022
                                                            ",-,"


","
 
","
 
","
"
"
                                                                1322 
                                                            ",SHRI RAM VATIKA,"
PCGRERA110122001317
",AMIT CHANDRAKAR,NAVODAYA DEVELOPERS,Residential Plotted Development,DURG,DURG,11 Jan 2022,"
                                                                08 Nov 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1323 
                                                            ",FM QUEENS PHASE-II,"
PCGRERA110122001318
",MURTUZA HUSSAIN,FIRSTMAN RESIDENTIAL DEVELOPERS,Group Housing,BILASPUR,TAKHATPUR,11 Jan 2022,"
                                                                06 Jun 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1324 
                                                            ",MAHAVEERS DURG TRADE CENTRE,"
PCGRERA110122001319
",VINOD BOHRA,MAHAVEERS DURG TRADE CENTRE,Commercial Plotted Development,DURG,DURG,11 Jan 2022,"
                                                                11 Oct 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1325 
                                                            ",ARINDAM GREEN CITY,"
PCGRERA110122001320
",SUNIL KUMAR SINHA,ESTATE BUILDCON,Group Housing,SURGUJA,AMBIKAPUR,11 Jan 2022,"
                                                                09 Feb 2026
                                                            ",-,"


","
 
","
 
","
"
"
                                                                1326 
                                                            ","CONSTRUCTION OF COMMERCIAL CUM RESIDENTIAL APARTMENT I/C DEVELOPMENT AT G.E. ROAD TATIBANDH, RAIPUR ","
PCGRERA110122001321
","EXECUTIVE ENGINEER, CHHATTISGARH HOUSING BOARD, DI",CHHATTISGARH HOUSING BOARD CPD-1 ,Mixed Development,RAIPUR,RAIPUR,11 Jan 2022,"
                                                                25 Oct 2026
                                                            ",-,"


","
 
","
 
","
"
"
                                                                1327 
                                                            ",KRISHNA LIFESTYLE  COLONY PHASE-I,"
PCGRERA110122001322
",SUNIL KUMAR TAPARIA,SHREE KRISHNA DEVELOPERS,Group Housing,RAIPUR,TILDA,11 Jan 2022,"
                                                                16 Feb 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1328 
                                                            ",ONYX- 18,"
PCGRERA120122001323
",AKASH MAR,A.M.DEVELOPERS,Group Housing,RAIPUR,RAIPUR,12 Jan 2022,"
                                                                06 Jul 2026
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                1329 
                                                            ",WOODS ESTATE  PHASE- 05,"
PCGRERA190122001324
",M.RAMESH RAO,SRI VENKATESHWARA REALITIES,Group Housing,RAIPUR,RAIPUR,19 Jan 2022,"
                                                                28 Sep 2025
                                                            ",-,"


","
 
","
 
","
 
"
